year,uid,previous_uid,successor_type,reason,note_id
2011,ANHVLA,ANMHEL,indirect,merger,2011_ANHVLA
2011,ANHVLA,VETLAB,indirect,merger,2011_ANHVLA
2014,ANPHEL,ANHVLA,indirect,merger,2014_ANPHEL
2014,ANPHEL,FDENRS,indirect,merger,2014_ANPHEL
2013,PSSOFF,IDPASS,direct,rename,2013_PSSOFF
2012,CRMRCD,,,moved_out,2012_CRMRCD
2012,BRDFCE,UKBRDA,indirect,demerger,2013_UKBRDA
2013,IMMENF,UKBRDA,indirect,demerger,2013_UKBRDA
2013,VISAIM,UKBRDA,indirect,demerger,2013_UKBRDA
2021,HOMEOF,HOMEOF,indirect,other,2021_HOMOFF
2021,HOMEOF,PSSOFF,indirect,other,2021_HOMOFF
2021,HOMEOF,BRDFCE,indirect,other,2021_HOMOFF
2021,HOMEOF,IMMENF,indirect,other,2021_HOMOFF
2021,HOMEOF,VISAIM,indirect,other,2021_HOMOFF
2021,HOMEOF,HOFGRP,direct,rename,2021_HOMOFF
2016,BUSENG,BUSINV,indirect,mog,2016_MOGJUL
2016,BUSENG,ENGCLM,indirect,mog,2016_MOGJUL
2016,INTTRD,BUSINV,indirect,mog,2016_MOGJUL
2016,INTTRD,UKTRDI,indirect,mog,2016_MOGJUL
2023,BUSTRD,BUSENG,indirect,mog,2023_MOGFEB
2023,BUSTRD,INTTRD,indirect,mog,2023_MOGFEB
2023,ENGNET,BUSENG,indirect,mog,2023_MOGFEB
2023,SCITCH,BUSENG,indirect,mog,2023_MOGFEB
2023,SCITCH,DGCLMD,indirect,mog,2023_MOGFEB
2017,DGCLMD,CLMDSP,direct,rename,2017_DGCLMD
2023,CLMDSP,DGCLMD,direct,rename,2023_MOGFEB
2011,GVPRCM,BUYSOL,direct,rename,2014_CRNCOM
2014,CRNCOM,GVPRCM,direct,rename,2014_CRNCOM
2010,EDUCAT,CHLSCH,direct,rename,2010_EDUCAT
2011,CMECOM,CLDSUP,indirect,other,2013_CMECOM
2011,CMECOM,CMECCE,indirect,other,2013_CMECOM
2011,CMECOM,CMECCS,indirect,other,2013_CMECOM
2012,CMTGRP,CMECOM,direct,rename,2013_CMECOM
2013,WRKPEN,CMTGRP,indirect,other,2013_CMECOM
2014,CMPMKT,FAIRTD,indirect,other,2014_CMPMKT
2010,COFINF,,,closure,2010_CABOFF
2010,NTSCGV,,,closure,2010_CABOFF
2019,HSCMLG,COMLGV,direct,rename,2024_HSCMLG
2022,LEVLUP,HSCMLG,direct,rename,2024_HSCMLG
2024,HSCMLG,LEVLUP,direct,rename,2024_HSCMLG
2011,CRTTRB,CRTSRV,indirect,merger,2011_CRTTRB
2011,CRTTRB,TRBSRV,indirect,merger,2011_CRTTRB
2018,CABOFF,CSRVHR,indirect,merger,2018_CSRVHR
2015,DEFELC,DEFSUP,indirect,demerger,2023_DEFELC
2023,DEFSUP,DEFELC,indirect,merger,2023_DEFELC
2014,DRVHST,DRVSTD,indirect,merger,2014_DRVHST
2014,DRVHST,VEHOPP,indirect,merger,2014_DRVHST
2011,EDUSCT,HMIEDU,indirect,merger,2011_EDUSCT
2019,EXITEU,,,closure,2019_EXITEU
2012,EXPFIN,EXPFIN,direct,rename,2012_EXPFIN
2020,FCDSRV,FCDSRV,direct,rename,2020_FRCMDV
2020,FRCMDV,FORCOM,indirect,merger,2020_FRCMDV
2020,FRCMDV,INTDEV,indirect,merger,2020_FRCMDV
2010,FDSTDS,MEATHY,indirect,merger,2010_MEATHY
9999,GOVEQU,,,other,9999_GOVEQU
2015,GOVLEG,TSOL,direct,rename,2015_GOVLEG
2011,NTRCSC,GREGSC,indirect,merger,2011_NTRCSC
2011,NTRCSC,NARCSC,indirect,merger,2011_NTRCSC
2011,GVCARD,,,closure,2011_GVCARD
2010,GVOFNT,,,closure,2010_GVOFNT
2018,HEALTH,HEALTH,direct,rename,2018_HEALTH
2021,HELSEC,PUBHEL,direct,rename,2021_HELSEC
2021,HELSEC,NHSTAT,indirect,other,2021_HELSEC
2014,HIGHAG,,,closure,2015_HIGHAG
2015,OFRLRD,OFRLRD,direct,rename,2015_HIGHAG
2015,HISTSC,,,closure,2015_HISTSC
2017,ISCFRS,ISPCNS,direct,rename,2017_ISCFRS
2013,LEGAID,LEGSRV,direct,rename,2013_LEGAID
2010,MRTFSH,,,closure,2010_MRTFSH
2015,NATMSR,NATMSR,,rename,2015_NATMSR
2016,NATMSR,,,closure,2015_NATMSR
2014,NATPRB,NTOFSV,indirect,other,2014_NATPRB
2014,PRISON,NTOFSV,indirect,other,2014_NATPRB
2014,NOMSHQ,NTOFSV,indirect,other,2014_NATPRB
2021,PRBSRV,NATPRB,direct,other,2021_PRBSRV
2017,PRPBHQ,NOMSHQ,direct,rename,2021_PRBSRV
2010,CABOFF,OFGVCM,indirect,merger,2010_OFGVCM
2011,ONS,STATGP,indirect,other,9999_UKSTAT
2011,UKSTAT,STATGP,,other,9999_UKSTAT
2015,STATGP,ONS,indirect,other,9999_UKSTAT
2015,STATGP,UKSTAT,,other,9999_UKSTAT
2016,ONS,STATGP,indirect,other,9999_UKSTAT
2016,UKSTAT,STATGP,,other,9999_UKSTAT
2016,STATGP,STATGP,direct,other,9999_UKSTAT
2015,ORDSRV,,,other,2015_ORDSRV
2017,RYLPRK,,,other,2017_RYLPRK
2015,SCTCTR,SCTCTS,indirect,merger,2014_SCTCTR
2015,SCTCTR,SCTTRB,indirect,merger,2014_SCTCTR
2016,SKLFND,,indirect,merger,2016_MOGJUL
2010,SCTWLS,SCTOFF,indirect,other,9999_TERRIT
2010,SCTWLS,WLSOFF,indirect,other,9999_TERRIT
2011,SCWLNI,SCTWLS,indirect,other,9999_TERRIT