note_id,note_details,source
2011_ANHVLA,Animal Health agency and Veterinary Laboratories Agency merged on 1 April 2011,https://www.gov.uk/government/organisations/veterinary-laboratories-agency; https://www.gov.uk/government/organisations/animal-health
2014_ANPHEL,Animal and Plant Health Agency formed on 1 October 2014 from merger of Animal Health and Veterinary Laboratories Agency and the Food and Environment Research Service (in 2015 parts of FERA are moved to public-private partnership Fera Science),https://www.gov.uk/government/news/world-leading-animal-and-plant-health-agency-celebrates-ten-year-anniversary
2013_PSSOFF,In May 2013 the Identity and Passport Service was renamed HM Passport Office,https://www.gov.uk/government/organisations/identity-and-passport-service
2012_CRMRCD,The Criminal Records Bureau merged with the Independent Safeguarding Authority to become the Disclosure and Barring Service a non-departmental public body (outside of the Civil Service),https://www.gov.uk/government/news/the-disclosure-and-barring-service-is-created
2013_UKBRDA,"In 2012 the Border Force was separated out from the UK Border Agency, in 2013 the residual UK Border Agency was operational split into two groups (UK Visas and Immigration; and, Immigration Enforcement), these three groups no longer had 'executive agency' status but continued to participate in the survey as separate organisations until 2021 (see note 2021_HOMEOF).",https://www.gov.uk/government/news/new-border-force-begins-work;https://www.gov.uk/government/news/uk-border-agency-to-split-into-two-new-groups
2021_HOMOFF,"In 2012/13 the Home Office's executive agencies were abolished and their functions fully integrated in to the management structure of the department, however prior to 2021 the Home Office continued participated in the Civil Service People Survey as five separate organisations one for its 'headquarters' or 'Whitehall' functions (sometimes called policy and enablers) and four for its main operational groupings (Border Force, HM Passport Service, Immigration Enforcement, UK Visas and Immigration). From 2021 onwards a single survey operated across the entire Home Office. Results for the combined Home Office surveys were published since 2015 alongside the five separate survey organisations.",
2016_MOGJUL,"On 13 July 2016 a Cabinet reshuffle was conducted by Theresa May. The reshuffle implemented the following machinery of government changes: (1) The Department for International Trade was formed from elements of the Department of Business, Innovation and Skills relating to trade policy and the non-ministerial department UK Trade and Investment. (2) Skills and other residual training policy functions of the Department for Business, Innovation and Skills were transfered to the Department for Education, including responsibility for the Skills Funding Agency (who stopped participating in the survey as a separate organisation, instead completing the survey as part of the Department for Education organisation). (3)  The remaining parts of the Department for Business, Innovation and Skills merged with the Department of Energy and Climate Change to form Department for Business, Energy and Industrial Strategy. (4) The Department for Exiting the European Union was established taking some secretariat staff from Cabinet Office and the Foreign and Commonwealth Office and incorporating the functions of the UK's Permanent Representative to the European Union.",https://www.gov.uk/government/collections/ministerial-appointments-july-2016
2023_MOGFEB,"On 7 February 2023 a Cabinet reshuffle was conducted by Rishi Sunak. (1) the Department for Energy Security and Net Zero was created from parts of the Department for Business, Energy and Industrial Strategy. (2) The Department for Science, Innovation and Technology was created from parts of the Department for Business, Energry and Industrial Strategy and parts of the Department for Digital, Culture, Media and Sport. (3) The Department for Business and Trade was created through a merger of the residual parts of the Department for Business, Energy and Industrial Strategy and the Department of International Trade. (4) The residual parts of the Department for Digital, Culture, Media and Sport were renamed back to the Department for Culture, Media and Sport.",https://www.gov.uk/government/news/ministerial-appointments-february-2023
2017_DGCLMD,"On 3 July 2017 it was annouced the Department for Culture, Media and Sport would be renamed the Department for Digital, Culture, Media and Sport",https://www.gov.uk/government/news/change-of-name-for-dcms
2014_CRNCOM,In July 2011 Buying Solutions (formerly OGCbuying.solutions) was renamed the Government Procurement Service. In 2013/14 the Government Procurement Service merged with procurement funtions housed inside government departments to form the Crown Commercial Service.,https://www.gov.uk/government/news/new-whitehall-central-buying-service-to-save-more-for-taxpayers
2010_EDUCAT,"At the change of government in May 2010, the Department for Children, Schools and Families was replaced with the Department for Education.",http://news.bbc.co.uk/1/hi/uk_politics/8679749.stm
2013_CMECOM,"The Child Maintenance and Enforcement Commission was a non-departmental public body of the Department for Work and Pensions established in 2008 comprising the former Child Support Agency and other executive functions, these participated in the survey as separate organisations in 2009 and 2010, in 2011 the Commission participated as a single organisation, in 2012 the Commission was abolished and its work was absorbed into the Department for Work and Pensions as the Child Maintenance Group. From 2013 the Child Maintenance Group has participated in thesurvey as part of the Department for Work and Pensions.",
2014_CMPMKT,"The Office of Fair Trading was abolished on 31 March 2014, its responsibilities were split amongst a number of other organisations, a significant part of the organisation merged with the Competition Commission to form the Competition and Markets Authority.",https://webarchive.nationalarchives.gov.uk/ukgwa/20140402172606/http://www.oft.gov.uk/about-the-oft/work-and-responsibilities
2010_CABOFF,"In 2010/11 reviews of the Central Office of Information (COI) and the National School of Government (NSG), both agencies of the Cabinet Office, both organisations were abolished in 2012.",https://www.gov.uk/government/news/government-publishes-response-to-coi-review;https://www.gov.uk/government/news/shake-up-of-civil-service-training
2024_HSCMLG,"In 2019 the Department for Communities and Local Government was renamed the Ministry of Housing, Communities and Local Government; in 2022 it was renamed the Department for Levelling Up, Housing and Communities; in 2024 the organisation reverted to the name Ministry of Housing, Communities and Local Government.",https://www.gov.uk/government/news/ministerial-appointments-january-2018;
2011_CRTTRB,In 2011 HM Courts Service merged with the Tribunals Service to form HM Courts and Tribunals Service,
2018_CSRVHR,"Civil Service HR was established in 2011 creating a quasi-centralised HR function for the Civil Service, a small policy function was based in the Cabinet Office while three 'expert services' provided operational HR services to departments. The expert services were initally hosted in three separate departments ('Civil Service Employee Policy' in DWP, 'Civil Service Learning' in the Home Office, and 'Civil Service Resourcing' in the Home Office). In 2015/16 the expert services were transferred to the Cabinet Office, from 2016 to 2018 staff in the expert services participated in the survey as a separate organisation ('Civil Service HR'), from 2019 onwards the participated as part of the Cabinet Office organisation.",
2023_DEFELC,"In 2015 the Defence Support Group was split up with parts being privatised through a sale to Babcock International, the residual organisation was renamed the Defence Electronics and Components Agency. In 2023 the Defence Electronics and Components Agency was merged into the Defence Equipment and Support agency.",https://www.bbc.co.uk/news/uk-england-30114933; https://des.mod.uk/des-deca-successfully-achieves-merger-milestone/
2014_DRVHST,In 2014 the Driving Standards Agency and the Vehicle Operator Services Agency merged to form the Driver and Vehicle Standards Agency.,https://www.gov.uk/government/news/driver-and-vehicle-standards-agency-named
2011_EDUSCT,In 2011 HM Inspectorate of Education merged with Learning and Teaching Scotland to form Education Scotland.,https://webarchive.nrscotland.gov.uk/20201117125858/http://www2.gov.scot/News/Releases/2010/10/14145207
2019_EXITEU,The Department for Exiting the European Union was established in the July 2016 Cabinet reshuffle from aspects of the Cabinet Office and Foreign and Commonwealth Office. The Department for Exiting the European Union was abolished on 31 January 2020.,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union/about
2012_EXPFIN,In 2011 the Export Credits Guarantee Department was renamed UK Export Finance.,https://www.gov.uk/government/news/uk-export-finance-is-the-new-name-for-export-credits-guarantee-department
2020_FRCMDV,"In June 2020 the Foreign and Commonwealth Office merged with the Department for International Development to form the Foreign, Commonwealth and Development Office. As part of the merger the executive agency FCO Services was renamed FCDO Services",https://www.gov.uk/government/news/prime-minister-announces-merger-of-department-for-international-development-and-foreign-office
2010_MEATHY,The Meat Hygine Service was merged into the Food Standards Agency in 2010.,https://webarchive.nationalarchives.gov.uk/ukgwa/20130418135509/http://www.food.gov.uk/news-updates/news/2010/mar/ogroup
9999_GOVEQU,"The Government Equalities Office was originally established in 2007 as an independent department. In 2009 and 2010 the Government Equalities Office participated in the Civil Service People Survey as its own organisation. In 2010 the Government Equalities Office was incorporated into the Home Office and transferred to a new host department as and when the role of Minister for Women and Equalities transferred to a different Secretary of State. Between 2011 and 2017 staff working in the Government Equalities Office participated in the survey of the host department (2011-2012: the Home Office; 2013: the Department for Culture, Media and Sport; 2014-2018: the Department for Education). For the 2018 and 2019 surveys the Government Equalities Office participated as a separate organisation (but remained hosted in different departments). In 2019 the Government Equalities Office was permanently transfered to the Cabinet Office and since hten staff have participated in the survey as part of the Cabinet Office.",
2015_GOVLEG,"In 2015 the Treasury Solicitor's Department (TSol) was renamed the Government Legal Department, in subsequent years legal staff working in most other government departments trransfered from their department to GLD.",https://www.gov.uk/government/news/treasury-solicitors-department-announces-change-of-name
2011_NTRCSC,In 2011 the General Register Office for Scotland merged with the National Archives of Scotland to form National Records of Scotland.,https://webarchive.nrscotland.gov.uk/20201110212817/http://www2.gov.scot/News/Releases/2011/03/10144001
2011_GVCARD,The Government Car and Despatch Agency was abolished in 2012 with its functions transferred to the Department of Transport.,https://www.gov.uk/government/publications/government-car-and-despatch-agency-final-report-and-accounts-2012
2010_GVOFNT,In July 2010 it was annouced the Government Offices for the Regions (also known as the Government Office Network) was to be abolished.,https://www.gov.uk/government/news/pickles-outlines-plans-to-abolish-regional-government
2018_HEALTH,In the January 2018 Cabinet reshuffle the Department of Health was renamed the Department of Health and Social Care,https://www.gov.uk/government/news/ministerial-appointments-january-2018
2021_HELSEC,"In 2020, in the midst of the Covid-19 pandemic, the intention to establish a new 'National Institue of Public Health' was annouced. In 2021 it was annouced this new institution would be called the 'UK Health Security Agency' and would take on many of the existing functions of Public Health England, alongside some other functions housed in the Department of Health and Social Care and from existing NHS bodies.",https://www.gov.uk/government/speeches/the-future-of-public-health; https://www.gov.uk/government/publications/transforming-the-public-health-system
2015_HIGHAG,"In 2015 it was annouced that Highways England, an arms length government-owned company, has been established to replace the Highways Agency (formerly an executive agency of the Department for Transport). As part of this change the Office for Rail Regulation would gain additional responsibilities to oversee roads and would be renamed the Office for Road and Rail.",https://www.gov.uk/government/news/highways-england-to-take-over-motorways-and-major-a-roads
2015_HISTSC,The Historic Environment Scotland Act 2014 established a new non-departmental public body called Historic Environment Scotland to take over the existing functions of Historic Scotland and the Royal Commission on the Ancient and Historic Monuments of Scotland.,https://www.gov.scot/publications/heritage-management-directions-and-guidance-chief-planner-letter/
2017_ISCFRS,"In July 2017 it was annouced that HM Inspectorate of Constabulary would extend its remit to include inspection of fire and rescue services and would be renamed HM Inspectorate of Constabulary, Fire and Rescue Services.",https://www.gov.uk/government/news/major-expansion-of-hmic-to-take-on-inspection-of-fire-and-rescue-in-england
2013_LEGAID,The Legal Aid Agency was established in 2013 to replace the Legal Services Commission.,https://www.gov.uk/government/organisations/legal-services-commission/about
2010_MRTFSH,"In 2010 the functions of the Martime and Fisheries Agency were transferred into a new non-departmental public body, the Maritime Management Organisation.",https://webarchive.nationalarchives.gov.uk/ukgwa/20140305093502/http://www.marinemanagement.org.uk/news/press/100401.htm
2015_NATMSR,"In 2015 the National Measurement Office was renamed the National Measurement and Regulation Office, in 2015 the NMRO was merged into the Department for Business, Energy and Industrial Strategy.",
2014_NATPRB,"In 2014 court based probation officers, managed as part of the National Offender Management Service were reorganised into the National Proabation Service and 21 (non-civil service) public/private 'Community Rehabilitation Companies'. The residual parts of NOMS participated in the survey as two separate organisations: National Offender Management Service HQ and HM Prison Service.",https://www.gov.uk/government/news/new-law-will-see-support-extended-to-50000-more-prisoners
2021_PRBSRV,In 2021 the changes to the probation service implemented in 2014 were reversed and the functions of Community Rehabilitation Companies were re-absorbed into the Minsitry of Justice and merged with the National Probation Service to form a new organisation called the Probation Service. In 2017 the NOMS HQ function was renamed HM Prison and Probation Service HQ.,https://www.gov.uk/guidance/strengthening-probation-building-confidence
2010_OFGVCM,In 2010 it was announced that the Office of Government Commerce would be merged into the Cabinet Office to form a new 'Efficiency and Reform Group',https://www.gov.uk/government/news/whitehall-shake-up-in-drive-for-efficiency
9999_UKSTAT,"The Office for National Statistics is an Executive Agency of the UK Statistics Authority (UKSA), the UKSA has a small secretariat supporting the .UKSA board and running the Office for Statistics Regulation (OSR). In 2009 the ONS and UKSA participated as a single organisation, from 2010 onwards they participated as two separate organisations, however in 2015 data was only published for the collective group, from 2016 onwards data has been published separately for each of the ONS, the UKSA secretariat and the combined group.",
2015_ORDSRV,"In 2015 it was annouced that the Ordnance Survey would transition from a 'trading fund' to a government-owned company, as a result the organisation exited the Civil Service and discontinued participation in the Civil Service People Survey.",https://questions-statements.parliament.uk/written-statements/detail/2015-01-22/hlws197
2017_RYLPRK,In 2017 The Royal Parks charity was established to take over the previous functions of The Royal Parks Agency.,https://www.gov.uk/government/organisations/royal-parks/about
2014_SCTCTR,"The Courts Reform Act (Scotland) 2014 renamed the Scottish Court Service as the Scottish Courts and Tribunals Service, the Act also enabled the body to take on responsibilites for managing tribunals previously held by the Scottish Tribunals Service.",https://www.legislation.gov.uk/asp/2014/18/part/10/enacted
9999_TERRIT,"The UK government has three secretaries of state with specific responsibilites for Scotland, Wales and Northern Ireland, collectively known as the territorial offices. The Scotland Office also incorporates the Office of the Advocate General, the UK government's most senior law officer on Scots Law. The Scotland Office and Wales Office participated as separate organisations in the 2009 survey. Owing to their small size, for cost purposes, the Scotland Office and Wales Office participated in the 2010 as a single organisation; from 2011 the Northern Ireland Office also began to participate in the survey as part of this combined survey organisation.",